住民基本台帳による人口,,,(令和6年(2024年)4月末日現在）,,,,,,,,
町名,世帯数,人口計,人口（男）,人口（女）,,,,,,,
美原５丁目,1148,2173,986,1187,,,,,,,
赤川町,808,1444,715,729,,,,,,,
赤川１丁目,929,1645,768,877,,,,,,,
亀田中野町,274,445,239,206,,,,,,,
北美原１丁目,587,1169,548,621,,,,,,,
北美原２丁目,714,1374,638,736,,,,,,,
北美原３丁目,542,1073,492,581,,,,,,,
水元町,0,0,0,0,,,,,,,
亀田大森町,0,0,0,0,,,,,,,
石川町,2769,5652,2712,2940,,,,,,,
桔梗町,2191,4754,2275,2479,,,,,,,
桔梗１丁目,647,1095,471,624,,,,,,,
桔梗２丁目,814,1633,748,885,,,,,,,
桔梗３丁目,838,1613,742,871,,,,,,,
桔梗４丁目,911,1745,785,960,,,,,,,
桔梗５丁目,1009,2154,1043,1111,,,,,,,
西桔梗町,1524,2847,1412,1435,,,,,,,
昭和町,554,1190,583,607,,,,,,,
昭和１丁目,976,1773,807,966,,,,,,,
昭和２丁目,1419,2405,1128,1277,,,,,,,
昭和３丁目,1273,2129,983,1146,,,,,,,
昭和４丁目,1817,3232,1545,1687,,,,,,,
亀田本町,1841,3216,1489,1727,,,,,,,
亀田港町,2186,3805,1771,2034,,,,,,,
亀田支所管内分,60421,109402,50471,58931,,,,,,,
小安町,364,627,290,337,,,,,,,
小安山町,0,0,0,0,,,,,,,
釜谷町,238,400,175,225,,,,,,,
汐首町,85,157,80,77,,,,,,,
瀬田来町,98,201,97,104,,,,,,,
弁才町,61,93,39,54,,,,,,,
泊町,15,28,12,16,,,,,,,
館町,38,63,28,35,,,,,,,
浜町,215,394,181,213,,,,,,,
新二見町,25,42,21,21,,,,,,,
原木町,61,105,51,54,,,,,,,
丸山町,0,0,0,0,,,,,,,
戸井支所管内分,1200,2110,974,1136,,,,,,,
日浦町,95,167,80,87,,,,,,,
吉畑町,0,0,0,0,,,,,,,
豊浦町,90,160,91,69,,,,,,,
大澗町,149,267,131,136,,,,,,,
中浜町,116,192,87,105,,,,,,,
女那川町,168,277,151,126,,,,,,,
川上町,91,137,55,82,,,,,,,
日和山町,0,0,0,0,,,,,,,
高岱町,38,65,33,32,,,,,,,
日ノ浜町,191,288,117,171,,,,,,,
古武井町,74,120,58,62,,,,,,,
恵山町,251,436,220,216,,,,,,,
柏野町,88,173,80,93,,,,,,,
御崎町,44,86,44,42,,,,,,,
恵山支所管内分,1395,2368,1147,1221,,,,,,,
恵山岬町,11,18,11,7,,,,,,,
元村町,27,56,26,30,,,,,,,
富浦町,39,66,30,36,,,,,,,
島泊町,26,42,17,25,,,,,,,
新恵山町,5,10,6,4,,,,,,,
絵紙山町,3,6,4,2,,,,,,,
新八幡町,62,110,55,55,,,,,,,
新浜町,136,250,113,137,,,,,,,
銚子町,102,196,90,106,,,,,,,
椴法華支所管内分,411,754,352,402,,,,,,,
古部町,54,99,49,50,,,,,,,
木直町,272,507,258,249,,,,,,,
尾札部町,561,1081,540,541,,,,,,,
川汲町,508,905,409,496,,,,,,,
安浦町,156,267,122,145,,,,,,,
臼尻町,290,504,248,256,,,,,,,
豊崎町,135,266,125,141,,,,,,,
大船町,176,347,177,170,,,,,,,
双見町,65,121,64,57,,,,,,,
岩戸町,61,130,73,57,,,,,,,
南茅部支所管内分,2278,4227,2065,2162,,,,,,,
計,138824,238435,108536,129899,,,,,,,
うち外国人,1538,1662,698,964,,,,,,,
